"country","stability","quartile_stability"
"San Marino",90.954133605957,4
"Sao Tome and Principe",60.2200892766317,3
"Saudi Arabia",33.2490659554799,2
"Senegal",37.9325800736745,2
"Serbia (Yugoslavia)",34.5356075664361,2
"Seychelles",73.1867702802022,3
"Sierra Leone",33.4703163901965,2
"Singapore",92.3328812917074,4
"Slovak Republic",77.0089246431987,4
"Slovenia",81.7370780309041,4
"Solomon Islands",56.317188501358,3
"Somalia",1.14009971916676,1
"South Africa",38.6297533512116,2
"South Sudan",4.02529390652975,1
"Spain",49.8338549137115,3
"Sri Lanka",24.0919108986855,1
"St. Kitts and Nevis",79.3215780258179,4
"St. Lucia",76.4668412208557,4
"St. Vincent and the Grenadines",79.092103322347,4
"Sudan",3.41332902014256,1
"Suriname",54.1302790641785,3
"Sweden",89.4073177973429,4
"Switzerland",94.9556735356649,4
"Syria",18.4237602030238,1
"Tajikistan",16.8814713855584,1
"Tanzania",32.991943359375,2
"Thailand",26.5685947736104,2
"Timor-Leste",38.435377294367,2
"Togo",30.8587509393692,2
"Tonga",72.847176361084,3
"Trinidad and Tobago",49.2972903251648,3
"Tunisia",35.6130449374517,2
"Turkey",15.5472359061241,1
"Turkmenistan",48.3763742446899,2
"Tuvalu",95.7509674072266,4
"UAE",73.3793274561564,3
"Uganda",16.7380533218384,1
"Ukraine",26.836310784022,2
"United Kingdom",61.7560741106669,3
"United States",59.2190691630046,3
"Uruguay",78.0048615137736,4
"Uzbekistan",24.469786932071,1
"Vanuatu",82.6331734657288,4
"Venezuela",14.4333025217056,1
"Vietnam",52.9940721193949,3
"Virgin Islands (U.S.)",71.4714612458882,3
"West Bank and Gaza",6.56930940349897,1
"Yemen",4.76404313246409,1
"Zambia",52.9511270523071,3
"Zimbabwe (Rhodesia)",18.0534437894821,1
