"country","pop.avg"
"Mali",15683856
"Malta",440917.5
"Myanmar",46834362.5
"Middle East & North Africa (excluding high income)",322434809
"Montenegro",611892
"Mongolia",2759595.5
"Northern Mariana Islands",47705
"Mozambique",23028561
"Mauritania",3345589.5
"Mauritius",1156891.5
"Malawi",14790106
"Malaysia",25479182
"North America",323217806.5
"Namibia",1927541
"New Caledonia",218059
"Niger",17162026
"Nigeria",155642638
"Nicaragua",5538919.5
"Netherlands",16274944.5
"Norway",4842014
"Nepal",24846328.5
"Nauru",10987
"New Zealand",4211650
"OECD members",1235858557.5
"Oman",3145068
"Other small states",25256519
"Pakistan",173747624
"Panama",3403558
"Peru",27836949.5
"Philippines",87843176
"Palau",16506
"Papua New Guinea",6953365.5
"Poland",37391639
"Pre-demographic dividend",722372202.5
"Puerto Rico",3363719.5
"Korea, Dem. People's Rep.",23282190.5
"Portugal",10207352
"Paraguay",5366016
"West Bank and Gaza",5043612
"Pacific island small states",2194114.5
"Post-demographic dividend",1035702222.5
"French Polynesia",256425
"Qatar",1561009
"Romania",21104233.5
"Russia",145978966.5
"Rwanda",10459336
"South Asia",1517747849.5
"Saudi Arabia",25881023.5
"Sudan",33796456.5
"Senegal",12319140.5
"Singapore",4283961.5
"Solomon Islands",519416.5
"Sierra Leone",6382440.5
"El Salvador",5803608.5
"San Marino",28231.5
"Somalia",12316444.5
"Serbia (Yugoslavia)",7122724.5
"Sub-Saharan Africa (excluding high income)",856759018.5
"South Sudan",7809895
"Sub-Saharan Africa",856853541
"Small states",34213564
"Sao Tome and Principe",172412.5
"Suriname",513200
"Slovak Republic",5353847
"Slovenia",2054168.5
"Sweden",9489952.5
"Kingdom of eSwatini (Swaziland)",1013811
"Sint Maarten (Dutch part)",34400
"Seychelles",94522.5
"Syria",17079673
"Turks and Caicos Islands",28465
"Chad",11696967
"East Asia & Pacific (IDA & IBRD countries)",1829110082
"Europe & Central Asia (IDA & IBRD countries)",441437288
"Togo",6306178
"Thailand",63010517
"Tajikistan",7608559.5
"Turkmenistan",5026036.5
"Latin America & the Caribbean (IDA & IBRD countries)",531011664
"Timor-Leste",1040515.5
"Middle East & North Africa (IDA & IBRD countries)",319913003
"Tonga",102618.5
"South Asia (IDA & IBRD)",1517747849.5
"Sub-Saharan Africa (IDA & IBRD countries)",856853541
"Trinidad and Tobago",1393627
"Tunisia",10306256.5
"Turkey",69142573.5
"Tuvalu",10164.5
"Tanzania",45510323
"Uganda",32139064
"Ukraine",44886500
"Upper middle income",2431950744
"Uruguay",3260341.5
"United States",290053278.5
"Uzbekistan",27875501
"St. Vincent and the Grenadines",108134
"Venezuela",23788494
"British Virgin Islands",23198
"Virgin Islands (U.S.)",103227
"Vietnam",81826608.5
"Vanuatu",236960.5
"World",6576764667.5
"Samoa",195134
"Kosovo",1794492.5
"Yemen",23284488
"South Africa",49281284.5
"Zambia",13754475
"Zimbabwe (Rhodesia)",13083441.5
